osmid,lat,lon,name
6142240743,44.6468892,10.9257993,Piazza della Torre
9221534508,44.6464986,10.9263092,Piazzetta delle Ova
5260701926,44.6454539,10.9256124,Piazza Venti Settembre
6080463212,44.6435996,10.9237653,Piazzale Redecocca
5091321270,44.6468842,10.9276374,Piazza Giuseppe Mazzini
5304539316,44.6446304,10.9300946,Piazzetta San Biagio
2021402119,44.6437113,10.931644,Teatro Storchi
2021402119,44.6437113,10.931644,Teatro Storchi
4826997638,44.6414914,10.9270845,Chiesa di San Pietro
4459017452,44.6433986,10.9281306,Chiesa di Santa Maria delle Asse
250854432,44.6517424,10.9270126,Santa Croce
10033394700,44.6447925,10.9256219,Mercato Coperto Albinelli
309108813,44.6513946,10.9332244,Tempio monumentale San Giuseppe ai caduti in guerra
250848871,44.6473131,10.9257706,Madonna del Voto
12566186114,44.6473828,10.9245964,Chiesa di San Giovanni Battista
5091321279,44.6456452,10.9272981,San Carlo
6098627365,44.6490526,10.9273772,Chiesa di San Domenico
5304539312,44.6445859,10.9300981,San Biagio nel Carmine
2021511944,44.6434561,10.9324259,Fontana dei Due Fiumi
5934193644,44.6440344,10.9308629,Largo Giuseppe Garibaldi
9194016310,44.6479275,10.9223045,Piazzale Degli Erri
6373168012,44.6433684,10.9229847,San Francesco
4583765030,44.6456707,10.9212641,Chiesa di San Barnaba
1787128305,44.6469895,10.9238028,Chiesa di Sant'Eufemia
11497417644,44.6503737,10.9229888,Via Mutina-Mantua
11922118591,44.6482044,10.9216377,Chiesa di Sant’Agostino
6070640226,44.6437588,10.9257893,Chiesa di San Bartolomeo
2025194812,44.645815,10.9198582,Chiesa della Beata Vergine delle Grazie
250848853,44.6492473,10.9269359,Chiesa delle Terziarie di San Domenico
250857477,44.6496994,10.9289458,Madonna del Paradisino
10543781404,44.6475444,10.927864,Largo San Giorgio
5181467627,44.6433085,10.9247956,San Paolo
250848886,44.6477195,10.9279084,Piazzetta Mario Molinari
6080463213,44.643686,10.9235734,Piazzale Francesco Torti
9222353848,44.6468636,10.9242967,Largo Sant'Eufemia
5220236238,44.6456829,10.9293916,Chiesa di San Vincenzo
9221534503,44.6462243,10.925277,Duomo di Modena
3409521985,44.6494407,10.9334554,Palazzina Vigarani
4566600464,44.6450077,10.9247661,Piazzetta dei Servi
4771200729,44.6445091,10.9297544,Largo di Porta Bologna
315879391,44.6439339,10.9297919,Largo Hannover
5091321232,44.6467377,10.9260931,Largo Angelo Fortunato Formiggini
2021886502,44.6494626,10.9296024,Piazzale Mario D'Aleo ed Emanuele Basile
12566155567,44.6483013,10.9287816,Palazzo Ducale
6143315383,44.6480581,10.9281772,Piazza Roma
6143315383,44.6480581,10.9281772,Piazza Roma
5091321261,44.6472077,10.9281937,San Giorgio
5091321261,44.6472077,10.9281937,San Giorgio
11509047378,44.6492523,10.9241485,Chiesa di Santa Maria Pomposa
9182429626,44.64377,10.9219576,Largo San Francesco d’Assisi
4583328462,44.6448492,10.9224536,Largo San Giacomo
9243645626,44.6460451,10.9263168,Piazza Grande
9222353856,44.6466553,10.9246097,Piazza Duomo
315580350,44.6471116,10.9252494,Piazza Giacomo Matteotti
123627958,44.647782,10.9233934,Largo Lodovico Antonio Muratori
3379581780,44.6494512,10.9249706,Piazza della Pomposa
250846413,44.6444638,10.9228149,Fontana della Ninfa
250846418,44.6456342,10.9257345,Fontana del Putto con I'oca
4535407020,44.6446071,10.9259674,Fanciulla con canestro di frutta
9235768195,44.6461333,10.9266165,Acetaia Comunale
